years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2075,58569.0,25627.0,32941.0,2559.0,9707321.0,9062084.0,1672.0,1240.0,44048628.0,1923773.0,0.2
2076,65400.0,17445.0,47956.0,1749.0,9651955.0,9117611.0,1215.0,1615.0,44049868.0,0.0,0.35
2077,77591.0,49497.0,28094.0,539.0,9575087.0,9195490.0,1821.0,1088.0,44051483.0,2868613.0,0.2
2078,77873.0,21854.0,56019.0,183.0,9490062.0,9280053.0,1479.0,1759.0,44052571.0,1676270.0,0.2
2079,62044.0,20713.0,41331.0,0.0,9396006.0,9373742.0,1492.0,1429.0,44054330.0,944508.0,0.35
2080,104482.0,70548.0,33934.0,0.0,9326808.0,9442548.0,2622.0,1337.0,44055759.0,6821738.0,0.2
2081,121465.0,38251.0,83214.0,0.0,9323497.0,9444271.0,2524.0,2533.0,44057096.0,6459617.0,0.2
2082,102873.0,23857.0,79017.0,0.0,9321225.0,9445057.0,1705.0,2438.0,44059629.0,2287525.0,0.5
2083,193430.0,156373.0,37056.0,0.0,9320451.0,9445143.0,4013.0,1342.0,44062067.0,14076794.0,0.2
2084,175032.0,37397.0,137635.0,0.0,9317170.0,9445434.0,2475.0,3877.0,44063409.0,6396945.0,0.95
2085,826706.0,807202.0,19503.0,0.0,9315722.0,9445422.0,10309.0,576.0,44067286.0,45201110.0,0.2
2086,420726.0,15121.0,405606.0,0.0,9306579.0,9445412.0,1280.0,9959.0,44067863.0,0.0,0.5
2087,105165.0,85350.0,19815.0,0.0,9306438.0,9445405.0,2382.0,1008.0,44077821.0,5935021.0,0.2
2088,99646.0,26422.0,73224.0,0.0,9304230.0,9446183.0,1935.0,2301.0,44078829.0,3640766.0,0.2
2089,86810.0,32236.0,54573.0,0.0,9303321.0,9446165.0,2347.0,1869.0,44081130.0,5219487.0,0.2
